chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
,,222683,0,0,-4,4,1,3,1.5,2.0,0,Justin,2.0,72,False,,,46,222683.jpg,2.6,Kluivert,0.3,False,,a,3,91,47,65449,362,78937,474,0.4,10.2,Kluivert,949,3,0,5,12,0,0,0,3,0,0,2,101,168.2,180.4,270.0,62.0,13,2.15,0.96,3.11,14.32,264,108,142,93,80,52,156,82,,,4,,,,0.2,0.0,0.09,0.29,1.36,1.14,343,223,160,68,212,90,270,87,1.23,0.47
0,0,128309,0,0,-1,1,0,3,0.0,0.0,0,Jamal,0.0,73,False,Season-long loan to  Swansea City,2023-09-02T08:49:08.357551Z,49,128309.jpg,0.0,Lowe,0.0,False,,u,3,91,0,81,0,1268,0,0.0,0.0,Lowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,774,328,772,328,767,325,777,329,,,,,,,0,0,0,0,0,0,229,148,732,300,776,329,695,278,0,0
0,0,133845,0,0,-2,2,0,3,0.0,0.0,0,Emiliano,0.0,74,False,On loan to Hibernian until the end of the season,2024-01-24T07:58:53.768805Z,43,133845.jpg,0.0,Marcondes,0.0,False,,u,3,91,0,9461,0,10070,22,0.0,0.0,Marcondes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,640,241,629,244,597,229,644,243,,,,,,,0,0,0,0,0,0,604,338,539,189,649,249,556,200,0,0
100,100,223911,0,0,-2,2,0,2,-0.5,0.0,0,Chris,0.0,75,False,,2023-09-26T18:00:07.515397Z,43,223911.jpg,0.7,Mepham,0.1,False,,a,3,91,4,2460,11,7043,15,0.0,0.9,Mepham,265,0,0,0,10,0,0,0,1,0,0,0,39,50.4,13.0,23.0,8.7,3,0.09,0.04,0.13,4.66,398,151,415,152,371,130,419,149,,,,,,,0.03,0.0,0.01,0.04,1.58,3.4,620,146,549,228,515,170,508,193,1.02,0.0
0,0,128340,0,0,-4,4,0,4,0.0,0.0,0,Kieffer,0.2,76,False,Season-long loan to Ipswich Town,2024-02-04T18:58:33.142579Z,46,128340.jpg,1.8,Moore,0.2,False,,u,3,91,14,20322,0,50668,175,0.0,3.0,Moore,100,1,0,0,2,0,0,0,0,0,0,2,38,37.4,27.9,81.0,14.1,0,1.44,0.33,1.77,2.26,422,48,372,52,229,46,384,50,,,,,,,1.3,0.0,0.3,1.6,2.03,1.8,336,64,368,46,332,43,323,51,0.0,0.0
100,100,69752,0,0,1,-1,2,1,1.5,2.0,2,Norberto,2.0,77,False,,2023-10-27T13:30:07.907911Z,46,69752.jpg,3.7,Murara Neto,3.4,False,,a,3,91,77,532003,811,288707,3019,0.4,16.7,Neto,1890,0,0,5,37,0,1,0,4,0,75,11,398,577.0,0.0,0.0,57.7,21,0.00,0.01,0.01,33.71,21,7,762,87,753,83,171,8,,,,,,,0.0,3.57,0.0,0.0,1.61,1.76,333,12,158,16,68,7,95,14,1.0,0.24
100,100,533463,0,0,-3,3,0,3,0.0,0.5,1,Dango,0.5,78,False,,2023-12-30T22:30:09.287875Z,47,533463.jpg,1.2,Ouattara,0.0,False,,a,3,91,18,1202,13,5293,5,0.1,3.8,O.Dango,491,0,0,2,8,0,0,0,2,0,0,0,76,106.6,100.8,132.0,34.2,5,1.20,0.51,1.71,6.13,326,139,230,138,166,99,270,131,,,,,,,0.22,0.0,0.09,0.31,1.12,1.47,329,217,313,148,409,184,665,261,0.92,0.37
0,0,156687,0,0,0,0,0,3,0.0,0.0,0,Ben,0.0,79,False,Permanent transfer to Stoke City,2023-07-11T08:58:20.803049Z,45,156687.jpg,0.0,Pearson,0.0,False,,u,3,91,0,0,0,109,0,0.0,0.0,Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,685,266,679,267,659,259,690,268,,,,,,,0,0,0,0,0,0,369,227,611,223,691,271,799,346,0,0
100,100,32259,0,0,0,0,0,1,-0.5,0.0,0,Darren,0.0,80,False,,2023-10-28T18:00:07.926322Z,40,32259.jpg,0.0,Randolph,0.4,False,,a,3,91,0,8960,27,28660,66,0.0,0.0,Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,554,59,541,42,498,31,559,59,,,,,,,0,0,0,0,0,0,663,39,431,51,563,58,251,34,0,0
0,0,156685,0,0,-2,2,0,3,0.0,0.0,0,Joe,0.0,81,False,On loan to Southampton until the end of the season,2024-01-17T09:57:46.390612Z,48,156685.jpg,1.2,Rothwell,0.0,False,,u,3,91,13,836,0,1948,7,0.0,2.7,Rothwell,380,0,0,0,12,0,0,0,0,0,0,0,54,45.8,63.9,5.0,11.6,3,0.06,0.22,0.28,11.24,410,182,297,161,430,215,401,184,,,,,,,0.01,0.0,0.05,0.06,2.66,2.84,285,185,720,291,411,186,645,246,0.71,0.0
100,100,437730,0,0,0,0,0,4,0.5,1.0,1,Antoine,1.0,82,False,,2024-01-01T13:00:10.892809Z,45,437730.jpg,2.7,Semenyo,1.8,False,,a,3,91,51,710254,1419,658675,1620,0.2,11.3,Semenyo,982,3,3,4,17,0,0,0,3,0,0,4,162,214.2,186.0,381.0,78.1,13,2.39,0.80,3.19,15.53,225,30,136,18,47,20,114,22,,,,,,,0.22,0.0,0.07,0.29,1.42,1.56,414,73,250,34,196,35,144,22,1.19,0.37
100,100,221466,0,0,0,0,3,2,2.3,2.8,8,Marcos,2.8,83,False,,2023-12-31T22:30:09.713753Z,45,221466.jpg,3.4,Senesi,3.0,False,,a,3,91,67,681191,4231,393579,2121,0.6,14.9,Senesi,1475,3,2,4,30,0,0,0,6,0,0,8,316,493.6,183.6,92.0,77.2,16,0.92,1.82,2.74,26.32,45,12,138,30,211,50,115,22,,,,,,,0.06,0.0,0.11,0.17,1.61,1.83,389,70,97,26,102,16,109,42,0.98,0.24
100,100,54469,0,0,-1,1,0,2,0.5,1.0,0,Adam,1.0,84,False,,2024-01-22T01:00:09.769539Z,44,54469.jpg,2.6,Smith,0.1,False,,a,3,91,37,23035,37,15417,195,0.2,8.4,Smith,1004,0,2,3,17,0,0,0,1,0,0,0,185,188.4,135.7,4.0,33.0,11,0.00,0.89,0.89,13.66,249,93,180,37,433,158,279,91,,,,,,,0.0,0.0,0.08,0.08,1.22,1.52,503,85,244,80,206,58,385,150,0.99,0.27
100,100,154566,0,0,5,-5,2,4,3.5,4.0,4,Dominic,4.0,85,False,,2023-09-28T03:30:08.465399Z,70,154566.jpg,5.0,Solanke,22.8,False,,a,3,91,114,3892206,7713,1828225,81797,0.6,16.3,Solanke,2047,13,2,5,41,0,0,0,2,0,0,12,368,586.6,245.3,883.0,171.6,23,12.09,1.28,13.37,34.94,18,4,99,9,4,3,11,4,,,,,1,,0.53,0.0,0.06,0.59,1.54,1.8,32,12,53,14,23,6,13,4,1.01,0.22
